"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
47472;248075;48640;235143;6762,966;-70,73648;536,5299;4346,685;26,3457;1915,315;13184,92;221,8659;1617
39120;438369;21088;213086;34540,63;4478,896;10113,56;22963,54;23951,46;3975,457;24363,49;1178,638;1627
87680;527245;22640;138799;35595,88;764,1903;-1690,145;20029,93;19592,03;-1279,596;787,1741;810,1444;1631
95600;574645;25760;167518;70779,08;1944,808;-5760,969;16219,41;49125,67;-2597,069;189,7778;2779,977;1640
107136;611089;85600;469613;30287,36;515,2578;-3870,626;25537,61;-2696,516;3749,057;56293,21;591,45;1647
125200;837244;72400;461961;2637,897;1247,27;1096,433;7005,84;-842,569;-32,52673;17095,74;808,8804;1651
53856;473646;60448;456355;6864,089;486,5332;55,51135;1061,885;2831,876;289,458;161,5941;640,3376;1656
75856;507721;27424;179809;39542,7;2361,745;-1400,525;16557,96;42755,64;-1585,734;109,1348;2482,025;1666
57280;349291;17648;104070;35596,96;-275,6259;-617,9258;11808,7;12348,99;-278,3393;557,4506;636,7456;1671
43152;268352;29488;190769;77995,41;1867,209;-6484,652;17931,11;49067,29;-2096,57;213,9223;1192,61;1672
66912;717633;27184;241753;4202,492;-421,2016;1098,691;1632,851;1420,276;-2,250488;345,8683;237,8127;1685
63520;411059;40848;250707;66743,46;1350,984;-5369,197;23183,56;36336,45;-2404,153;490,621;423,6882;1688
50368;272360;9637;59361;7755,153;180,1016;228,1914;1053,013;-23,12827;257,0558;598,7999;242,7338;1691
53056;302638;22624;127642;11149,61;210,2932;-299,2263;6453,136;5288,24;-424,4587;312,0516;179,6273;1691
107408;605919;30208;177987;71302,52;1561,345;-5436,095;19009,36;33063,18;-1078,968;1517,954;951,9651;1702
57152;367107;23024;142163;37986,68;2085,974;-2095,497;15062,44;32266,79;-1075,105;440,19;1274,657;1719
74288;769338;63856;515770;11342,37;663,4919;-729,324;8662,401;749,0962;-263,227;8324,099;1097,828;1720
30272;303468;30000;211322;49948,53;873,4354;276,4107;13757,87;31782,99;-576,6344;309,8553;782,5265;1733
80816;519143;25840;160469;78595,53;-89,07358;-485,1056;24104,04;56278,64;-2860,75;367,8091;1172,436;1743
92640;578058;86544;533017;3295,805;1346,145;-565,8767;2519,411;-267,1839;131,2519;24713,8;23,96677;1746
88928;744264;16032;140552;47227,53;295,2907;-137,8066;23151,19;40472,02;-1302,963;314,8278;5093,474;1747
88944;539959;29552;184151;50747,6;2282,257;-2670,553;21180,51;60252,8;-1773,521;1854,601;2338,15;1750
93280;517959;20048;118295;82861,18;1326,37;-8688,068;24042,51;34518,08;-702,1716;1005,154;753,3596;1767
106400;630379;66576;355445;16174,99;706,7283;359,4926;6375,611;-456,4224;-138,3503;16346,66;853,9934;1769
85312;562717;46032;374215;57362,54;11534,69;-3982,014;16804,93;26496,31;-1598,425;357,167;513,0552;1791
95568;546275;22016;125415;45662,27;747,9126;-1852,846;24771,33;44473,38;-2018,74;823,9897;3563,058;1798
117792;849020;96352;580878;8095,317;1354,719;-83,6055;935,1428;180,9896;2322,975;27609,68;-219,5459;1800
103040;599199;32160;194088;69106,86;3885,808;-5183,543;15020,89;49707,94;-2237,854;301,4394;758,4012;1802
41504;316099;25136;199985;47330,42;1763,462;-1043,986;13105,98;58890,16;-2381,995;325,0914;1433,073;1806
75296;852243;26880;260053;14274,67;-993,6157;4467,666;9928,287;48692,27;-1291,201;635,3;288,7379;1808
83728;501653;23216;144445;76052,24;2911,46;-5163,34;24848,99;70298,61;-3560,448;1427,232;543,1807;1809
89072;518882;23744;147906;61157,98;1941,43;-4809,931;16443,75;27170,83;-1504,94;1639,296;1207,258;1812
63808;382770;22832;143019;58751,62;1019,585;-3879,04;22723,27;39637,92;-1738,934;1840,255;1405,079;1818
72064;423530;19568;126309;18863,39;8,350861;458,8747;7255,134;5689,127;-334,5168;51,9325;2369,225;1826
69680;424212;18144;111748;56154,67;1722,844;-4632,299;19028,9;40902,89;-1207,344;426,6043;1418,402;1829
